recorded_at,market_id,question,entry_p,current_p,marked_at,end_date,category,strategy,status,outcome,pnl
2026-08-20,0x84c625fdccf5c5246a15e476361e4563033906ee225800e1136c0d737596a72f,"Russia x Ukraine ceasefire by December 31, 2026?",0.1750,0.1450,2026-09-03,2026-12-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,Will Gavin Newsom win the 2028 Democratic presidential nomination?,0.1525,0.1415,2026-09-03,2028-11-07,politics,cheap_political_yes,pending,,
2026-08-20,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,Will the Republican Party control the House after the 2026 Midterm elections?,0.1250,0.1150,2026-09-03,2026-11-03,politics,cheap_political_yes,pending,,
2026-08-20,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d,Will Flávio Bolsonaro win the 2026 Brazilian presidential election?,0.3275,0.4325,2026-09-03,2026-10-04,politics,cheap_political_yes,pending,,
2026-08-20,0xe6d5e5da83874cd82c9b651a8a5d4fc541a800a295fb62e85124b4f5a04a4b7d,"Will China invade Taiwan by December 31, 2027?",0.1250,0.1150,2026-09-03,2027-12-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0xf232b565995e4b3a3e7fa6cef775eeff1cecd20ad7c013cb9fc8dadabfe279a9,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,0.1265,0.1265,2026-09-03,2028-11-07,politics,cheap_political_yes,pending,,
2026-08-20,0x1c38a64c494e01c9bd81362cfadeadb3b87023d1d9ffae1df5a428c03152fc74,Iran-Oman Hormuz Agreement by August 31?,0.1550,0.0000,2026-09-01,2026-08-31,geopolitics,cheap_political_yes,settled,NO,-0.1550
2026-08-20,0x2a4fcda5c1598fc8621cf96cabc410f9f23a2d0336c3bff5070a37a663d39e94,"NATO x Russia military clash by October 31, 2026?",0.1900,0.1150,2026-09-03,2026-10-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0xc9615bb82d6535d630ff98e8094060bc767d8b9446516e98f84d2001a35e50e7,Will New People (NL) gain the most seats in the next Russian parliamentary election?,0.2225,0.2395,2026-09-03,2026-09-30,politics,cheap_political_yes,pending,,
2026-08-20,0x7586a96520578acaaaa4ea84a2582f197f84255da1f3392a7aa300386c187b37,Will Benjamin Netanyahu be the next Prime Minister of Israel?,0.2700,0.2900,2026-09-03,2026-12-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x15d2e66dcf1d63c5695d6d0e9e2f8e06dd246d00fd5dfc254f2b22baa33bfa1b,Mitch McConnell steps down from Senate before his term ends?,0.1700,0.1250,2026-09-03,2027-01-03,politics,cheap_political_yes,pending,,
2026-08-20,0xed5a9e7831ee363d92cb102f2c21e2465b09196ef5beb7c8e23671851a1c3ca4,"US x Iran diplomatic meeting by September 30, 2026?",0.2300,0.0850,2026-09-03,2026-09-30,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x377e7fe65cf198a7fc4fdae3f2136b74729279267858daaf96718b23bc2a5607,Iran leadership change by December 31?,0.1550,0.1550,2026-09-03,2026-12-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x3de0f3d7d7efb40cde68e814d40a0b232832083653c8e78260eb999baa967de0,US strike on Cuba by December 31?,0.1700,0.1450,2026-09-03,2026-12-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x5187c6fefe08cf4513e08dd31a514b698aaebc18c259b9a98c8170cca2b7d6e8,Will AfD win an absolute majority of seats in Sachsen-Anhalt?,0.3050,0.2350,2026-09-03,2026-09-06,politics,cheap_political_yes,pending,,
2026-08-20,0xa34edb6c898232378a9cc08744842df2cd89d278ba45b012bed3ac10c7241c4d,Will Lamine Yamal win the 2026 Ballon d'Or?,0.1535,0.1495,2026-09-03,2026-10-31,politics,cheap_political_yes,pending,,
2026-08-20,0x176e84015b1cc54d470836ef1d8a60753e17fa232d9b55e9aa8dde580d03f436,Friedrich Merz out as Chancellor of Germany before 2027?,0.1650,0.1150,2026-09-03,2026-12-31,politics,cheap_political_yes,pending,,
2026-08-20,0x7ad403c3508f8e3912940fd1a913f227591145ca0614074208e0b962d5fcc422,Will JD Vance win the 2028 US Presidential Election?,0.2055,0.2535,2026-09-03,2028-11-07,politics,cheap_political_yes,pending,,
2026-08-20,0x74dba1ce1ae9dd535414e85f2d9ab5ea32c0fb1acc9b7130b67e6d91217e24e1,Will Jon Ossoff win the 2028 Democratic presidential nomination?,0.1365,0.1585,2026-09-03,2028-11-07,politics,cheap_political_yes,pending,,
2026-08-20,0xfed2dd1e83691ca08b8bc08d2bed09cb19003730f2be47da6a467ee37df96fbb,Mojtaba Khamenei seen in public by December 31?,0.2350,0.2150,2026-09-03,2026-12-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x2053d8515f1b8cbeea4ccdb56e60e89c2617e43a8660d95166b8e71d27865277,Will Marco Rubio win the 2028 US Presidential Election?,0.1195,0.1025,2026-09-03,2028-11-07,politics,cheap_political_yes,pending,,
2026-08-20,0x60a4dc3f3fccac5c29571f9f4bb8067fecdbcac17f337aac62ea0fe5cd476435,"Will Russia capture Mala Tokmachka by September 30, 2026?",0.1550,0.0950,2026-09-03,2026-09-30,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x5c19f205507ce03ff5f3be08a8090a5969ea6870cc07b902a4ca2e61dfe48fdd,"Russia x Ukraine ceasefire agreement by December 31, 2026?",0.2150,0.1750,2026-09-03,2026-12-31,geopolitics,cheap_political_yes,pending,,
2026-08-20,0x21ad31a46bfaa51650766eff6dc69c866959e32d965ffb116020e37694b6317d,Will Marco Rubio win the 2028 Republican presidential nomination?,0.2285,0.1745,2026-09-03,2028-11-07,politics,cheap_political_yes,pending,,
2026-08-20,0xe802435286a79c0086810443a824d596619a6f34f901c112f0b70e4e140d6165,"Iran leadership change by June 30, 2027?",0.2450,0.2550,2026-09-03,2027-06-30,geopolitics,cheap_political_yes,pending,,
2026-08-26,0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc,Strait of Hormuz traffic returns to normal by September 30?,0.1150,0.0265,2026-09-03,2026-09-30,geopolitics,cheap_political_yes,pending,,
